table_schema,table_name,column_name,data_type,is_nullable,column_default
public,_job_candidate_stage_shadow,job_candidate_id,uuid,NO,null
public,_job_candidate_stage_shadow,last_stage,text,YES,null
public,_job_candidate_stage_shadow,updated_at,timestamp with time zone,NO,now()
public,ai_insights_cache,id,uuid,NO,gen_random_uuid()
public,ai_insights_cache,org_id,uuid,NO,null
public,ai_insights_cache,insights_data,jsonb,NO,null
public,ai_insights_cache,recruitment_metrics,jsonb,NO,null
public,ai_insights_cache,generated_at,timestamp with time zone,YES,now()
public,ai_insights_cache,expires_at,timestamp with time zone,YES,(now() + '01:00:00'::interval)
public,ai_insights_cache,created_at,timestamp with time zone,YES,now()
public,ai_insights_cache,updated_at,timestamp with time zone,YES,now()
public,ai_insights_metrics,id,uuid,NO,gen_random_uuid()
public,ai_insights_metrics,org_id,uuid,NO,null
public,ai_insights_metrics,total_insights_generated,integer,YES,0
public,ai_insights_metrics,recommendations_implemented,integer,YES,0
public,ai_insights_metrics,recommendations_dismissed,integer,YES,0
public,ai_insights_metrics,avg_user_rating,numeric,YES,null
public,ai_insights_metrics,api_calls_count,integer,YES,0
public,ai_insights_metrics,last_generation_time,timestamp with time zone,YES,null
public,ai_insights_metrics,created_at,timestamp with time zone,YES,now()
public,ai_insights_metrics,updated_at,timestamp with time zone,YES,now()
public,ai_recommendations_history,id,uuid,NO,gen_random_uuid()
public,ai_recommendations_history,org_id,uuid,NO,null
public,ai_recommendations_history,recommendation_id,character varying,NO,null
public,ai_recommendations_history,recommendation_type,character varying,NO,null
public,ai_recommendations_history,priority,character varying,NO,null
public,ai_recommendations_history,title,text,NO,null
public,ai_recommendations_history,description,text,NO,null
public,ai_recommendations_history,impact,text,NO,null
public,ai_recommendations_history,action_items,jsonb,YES,'[]'::jsonb
public,ai_recommendations_history,confidence,integer,YES,null
public,ai_recommendations_history,user_feedback,character varying,YES,null
public,ai_recommendations_history,implemented_at,timestamp with time zone,YES,null
public,ai_recommendations_history,dismissed_at,timestamp with time zone,YES,null
public,ai_recommendations_history,created_at,timestamp with time zone,YES,now()
public,ai_recommendations_history,updated_at,timestamp with time zone,YES,now()
public,application_metadata,id,uuid,NO,gen_random_uuid()
public,application_metadata,org_id,uuid,NO,null
public,application_metadata,candidate_id,uuid,NO,null
public,application_metadata,job_id,uuid,NO,null
public,application_metadata,education_details,text,YES,null
public,application_metadata,employment_details,text,YES,null
public,application_metadata,application_source,character varying,YES,null
