table_name,column_name,foreign_table_name,foreign_column_name
candidates,org_id,organizations,id
clients,org_id,organizations,id
interviews,job_candidate_id,job_candidate,id
interviews,org_id,organizations,id
job_candidate,application_id,applications,id
job_candidate,candidate_id,candidates,id
job_candidate,job_id,jobs,id
job_candidate,org_id,organizations,id
job_candidate,pipeline_column_id,pipeline_columns,id
job_candidate,pipeline_column_id,pipeline_columns,id
jobs,client_id,clients,id
jobs,org_id,organizations,id
messages,candidate_id,candidates,id
messages,client_id,clients,id
messages,job_id,jobs,id
messages,org_id,organizations,id
pipeline_columns,job_id,jobs,id
pipeline_columns,org_id,organizations,id
user_organizations,org_id,organizations,id
