table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
public,ai_insights_cache,org_id,public,organizations,id
public,ai_insights_metrics,org_id,public,organizations,id
public,ai_recommendations_history,org_id,public,organizations,id
public,application_metadata,job_id,public,jobs,id
public,application_metadata,candidate_id,public,candidates,id
public,application_metadata,org_id,public,organizations,id
public,applications,candidate_id,public,candidates,id
public,applications,job_id,public,jobs,id
public,applications,candidate_id,public,candidates,id
public,applications,column_id,public,pipeline_columns,id
public,applications,job_id,public,jobs,id
public,candidate_notes,job_candidate_id,public,job_candidate,id
public,candidate_notes,org_id,public,organizations,id
public,candidates,org_id,public,organizations,id
public,clients,org_id,public,organizations,id
public,data_imports,org_id,public,organizations,id
public,email_events,candidate_id,public,candidates,id
public,email_events,template_id,public,email_templates,id
public,email_events,job_id,public,jobs,id
public,email_events,org_id,public,organizations,id
public,email_templates,org_id,public,organizations,id
public,import_records,import_id,public,data_imports,id
public,interviews,org_id,public,organizations,id
public,interviews,job_candidate_id,public,job_candidate,id
public,job_candidate,application_id,public,applications,id
public,job_candidate,org_id,public,organizations,id
public,job_candidate,job_id,public,jobs,id
public,job_candidate,candidate_id,public,candidates,id
public,job_candidate,pipeline_column_id,public,pipeline_columns,id
public,job_candidate,pipeline_column_id,public,pipeline_columns,id
public,jobs,client_id,public,clients,id
public,jobs,org_id,public,organizations,id
public,message_recipients,message_id,public,messages,id
public,messages,org_id,public,organizations,id
public,messages,client_id,public,clients,id
public,messages,job_id,public,jobs,id
public,messages,candidate_id,public,candidates,id
public,organization_email_settings,org_id,public,organizations,id
public,pipeline_columns,org_id,public,organizations,id
public,pipeline_columns,job_id,public,jobs,id
public,user_organizations,org_id,public,organizations,id
