oid,tgrelid,tgparentid,tgname,tgfoid,tgtype,tgenabled,tgisinternal,tgconstrrelid,tgconstrindid,tgconstraint,tgdeferrable,tginitdeferred,tgnargs,tgattr,tgargs,tgqual,tgoldtable,tgnewtable
36096,36040,0,RI_ConstraintTrigger_a_36096,1646,9,O,true,36079,36050,36095,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36097,36040,0,RI_ConstraintTrigger_a_36097,1655,17,O,true,36079,36050,36095,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36124,36040,0,RI_ConstraintTrigger_a_36124,1646,9,O,true,36105,36050,36123,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36125,36040,0,RI_ConstraintTrigger_a_36125,1655,17,O,true,36105,36050,36123,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36057,36040,0,RI_ConstraintTrigger_c_36057,1644,5,O,true,35908,35916,36054,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36058,36040,0,RI_ConstraintTrigger_c_36058,1645,17,O,true,35908,35916,36054,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36062,36040,0,RI_ConstraintTrigger_c_36062,1644,5,O,true,35966,35977,36059,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36063,36040,0,RI_ConstraintTrigger_c_36063,1645,17,O,true,35966,35977,36059,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36067,36040,0,RI_ConstraintTrigger_c_36067,1644,5,O,true,35999,36008,36064,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36068,36040,0,RI_ConstraintTrigger_c_36068,1645,17,O,true,35999,36008,36064,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36072,36040,0,RI_ConstraintTrigger_c_36072,1644,5,O,true,36020,36026,36069,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36073,36040,0,RI_ConstraintTrigger_c_36073,1645,17,O,true,36020,36026,36069,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36077,36040,0,RI_ConstraintTrigger_c_36077,1644,5,O,true,16493,16498,36074,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
36078,36040,0,RI_ConstraintTrigger_c_36078,1645,17,O,true,16493,16498,36074,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
46507,36040,0,RI_ConstraintTrigger_c_46507,1644,5,O,true,37515,37522,46504,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
46508,36040,0,RI_ConstraintTrigger_c_46508,1645,17,O,true,37515,37522,46504,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
72314,36040,0,RI_ConstraintTrigger_c_72314,1644,5,O,true,37515,37522,72311,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
72315,36040,0,RI_ConstraintTrigger_c_72315,1645,17,O,true,37515,37522,72311,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
107073,36040,0,tr_log_job_candidate_stage_transition,107072,21,O,false,0,0,0,false,false,0,6,"{""type"":""Buffer"",""data"":[]}",null,null,null
36242,36040,0,update_job_candidate_updated_at,36236,19,O,false,0,0,0,false,false,0,,"{""type"":""Buffer"",""data"":[]}",null,null,null
