table_schema,table_name,policy_name,permissive,cmd,roles,using_expression,with_check_expression
cron,job,cron_job_policy,PERMISSIVE,ALL,{public},(username = CURRENT_USER),null
cron,job_run_details,cron_job_run_details_policy,PERMISSIVE,ALL,{public},(username = CURRENT_USER),null
public,_job_candidate_stage_shadow,shadow_table_delete_auth,PERMISSIVE,DELETE,{authenticated},"(job_candidate_id IN ( SELECT jc.id
   FROM (job_candidate jc
     JOIN user_organizations uo ON ((jc.org_id = uo.org_id)))
  WHERE (uo.user_id = ( SELECT auth.uid() AS uid))))",null
public,_job_candidate_stage_shadow,shadow_table_insert_auth,PERMISSIVE,INSERT,{authenticated},null,"(job_candidate_id IN ( SELECT jc.id
   FROM (job_candidate jc
     JOIN user_organizations uo ON ((jc.org_id = uo.org_id)))
  WHERE (uo.user_id = ( SELECT auth.uid() AS uid))))"
public,_job_candidate_stage_shadow,shadow_table_select_auth,PERMISSIVE,SELECT,{authenticated},"(job_candidate_id IN ( SELECT jc.id
   FROM (job_candidate jc
     JOIN user_organizations uo ON ((jc.org_id = uo.org_id)))
  WHERE (uo.user_id = ( SELECT auth.uid() AS uid))))",null
public,_job_candidate_stage_shadow,shadow_table_update_auth,PERMISSIVE,UPDATE,{authenticated},"(job_candidate_id IN ( SELECT jc.id
   FROM (job_candidate jc
     JOIN user_organizations uo ON ((jc.org_id = uo.org_id)))
  WHERE (uo.user_id = ( SELECT auth.uid() AS uid))))",null
public,ai_insights_cache,ai_insights_cache_secure_delete,PERMISSIVE,DELETE,{authenticated},"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = ( SELECT auth.uid() AS uid)) AND (user_organizations.role = ANY (ARRAY['owner'::organization_role, 'admin'::organization_role])))))",null
public,ai_insights_cache,ai_insights_cache_secure_insert,PERMISSIVE,INSERT,{authenticated},null,"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = ( SELECT auth.uid() AS uid)) AND (user_organizations.role = ANY (ARRAY['owner'::organization_role, 'admin'::organization_role, 'hiring_manager'::organization_role, 'recruiter'::organization_role])))))"
public,ai_insights_cache,ai_insights_cache_secure_select,PERMISSIVE,SELECT,{authenticated},"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))",null
public,ai_insights_cache,ai_insights_cache_secure_update,PERMISSIVE,UPDATE,{authenticated},"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE ((user_organizations.user_id = ( SELECT auth.uid() AS uid)) AND (user_organizations.role = ANY (ARRAY['owner'::organization_role, 'admin'::organization_role, 'hiring_manager'::organization_role, 'recruiter'::organization_role])))))",null
public,ai_insights_cache,block_anon_ai_insights_cache,PERMISSIVE,ALL,{anon},false,null
