tablename,policyname,operation,applies_to,using_clause,with_check_clause
candidates,candidates_authenticated_consolidated,ALL,{authenticated},(user_has_org_access(org_id) OR ((get_user_role_safe(( SELECT auth.uid() AS uid)) = 'demo_viewer'::text) AND (status = 'demo'::record_status))),(user_has_org_access(org_id) AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text))
candidates,candidates_block_anon_except_insert,ALL,{anon},false,false
candidates,candidates_anon_insert_for_applications,INSERT,{anon},null,true
interviews,interviews_authenticated_consolidated,ALL,{authenticated},(is_authenticated() AND ((org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))) OR ((get_user_role_safe(( SELECT auth.uid() AS uid)) = 'demo_viewer'::text) AND (record_status = 'demo'::record_status)))),(is_authenticated() AND (org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))) AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text))
interviews,interviews_public_consolidated,ALL,{public},"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))","(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))"
job_candidate,job_candidate_authenticated_consolidated,ALL,{authenticated},"((org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid)))) AND ((get_user_role() = ANY (ARRAY['admin'::text, 'recruiter'::text])) OR ((get_user_role() = 'pm'::text) AND (assigned_to = ( SELECT auth.uid() AS uid))) OR (get_user_role() = 'bd'::text) OR ((get_user_role() = 'demo_viewer'::text) AND (status = 'demo'::record_status)) OR is_authenticated()))","((org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid)))) AND ((get_user_role() = ANY (ARRAY['admin'::text, 'recruiter'::text, 'pm'::text])) OR (is_authenticated() AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text))))"
job_candidate,job_candidate_block_anon_except_insert,ALL,{anon},false,false
job_candidate,job_candidate_anon_insert_public_jobs,INSERT,{anon},null,"(job_id IN ( SELECT jobs.id
   FROM jobs
  WHERE ((jobs.status = 'open'::job_status) AND (jobs.public_slug IS NOT NULL) AND (jobs.published_at IS NOT NULL))))"
job_candidate,job_candidate_secure_select,SELECT,{authenticated},"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))",null
job_candidate,job_candidate_secure_update,UPDATE,{authenticated},"(org_id IN ( SELECT user_organizations.org_id
   FROM user_organizations
  WHERE (user_organizations.user_id = ( SELECT auth.uid() AS uid))))",null
jobs,Users can manage jobs in their organizations,ALL,{authenticated},(is_authenticated() AND (org_id = ANY (get_user_org_ids(( SELECT auth.uid() AS uid)))) AND (get_user_role_safe(( SELECT auth.uid() AS uid)) <> 'demo_viewer'::text)),null
jobs,Public can read published jobs,SELECT,{anon},((status = 'open'::job_status) AND (published_at IS NOT NULL)),null
jobs,Public can view open jobs,SELECT,{public},((status = 'open'::job_status) AND (record_status = 'active'::record_status)),null
jobs,Public can view public jobs,SELECT,{anon},((is_public = true) AND ((record_status IS NULL) OR (record_status <> 'demo'::record_status))),null
