table_schema,table_name
public,_job_candidate_stage_shadow
public,ai_insights_cache
public,ai_insights_metrics
public,ai_recommendations_history
public,application_metadata
public,applications
public,apply_events
public,beta_applications
public,beta_users
public,candidate_notes
public,candidates
public,clients
public,data_imports
public,email_events
public,email_signups
public,email_templates
public,import_records
public,interviews
public,job_candidate
public,job_pipeline_stage_events
public,jobs
public,message_recipients
public,messages
public,notes
public,organization_email_settings
public,organizations
public,pipeline_columns
public,schema_migrations
public,stage_order
public,timezone_cache
public,user_organizations
public,user_profiles
public,user_settings
