constraint_name,table_schema,child_table,child_column,parent_schema,parent_table,parent_column,on_update,on_delete
ai_insights_cache_org_id_fkey,public,ai_insights_cache,org_id,public,organizations,id,NO ACTION,CASCADE
ai_insights_metrics_org_id_fkey,public,ai_insights_metrics,org_id,public,organizations,id,NO ACTION,CASCADE
ai_recommendations_history_org_id_fkey,public,ai_recommendations_history,org_id,public,organizations,id,NO ACTION,CASCADE
application_metadata_candidate_id_fkey,public,application_metadata,candidate_id,public,candidates,id,NO ACTION,NO ACTION
application_metadata_job_id_fkey,public,application_metadata,job_id,public,jobs,id,NO ACTION,NO ACTION
application_metadata_org_id_fkey,public,application_metadata,org_id,public,organizations,id,NO ACTION,NO ACTION
fk_applications_candidate_id,public,applications,candidate_id,public,candidates,id,NO ACTION,CASCADE
applications_candidate_id_fkey,public,applications,candidate_id,public,candidates,id,NO ACTION,CASCADE
fk_applications_column_id,public,applications,column_id,public,pipeline_columns,id,NO ACTION,SET NULL
applications_job_id_fkey,public,applications,job_id,public,jobs,id,NO ACTION,CASCADE
fk_applications_job_id,public,applications,job_id,public,jobs,id,NO ACTION,CASCADE
calendar_events_org_id_fkey,public,calendar_events,org_id,public,organizations,id,NO ACTION,CASCADE
calendar_events_thread_id_fkey,public,calendar_events,thread_id,public,message_threads,id,NO ACTION,SET NULL
campaign_email_sends_campaign_email_id_fkey,public,campaign_email_sends,campaign_email_id,public,campaign_emails,id,NO ACTION,CASCADE
campaign_email_sends_enrollment_id_fkey,public,campaign_email_sends,enrollment_id,public,candidate_campaign_enrollments,id,NO ACTION,CASCADE
campaign_emails_campaign_id_fkey,public,campaign_emails,campaign_id,public,drip_campaigns,id,NO ACTION,CASCADE
candidate_campaign_enrollments_campaign_id_fkey,public,candidate_campaign_enrollments,campaign_id,public,drip_campaigns,id,NO ACTION,CASCADE
candidate_campaign_enrollments_candidate_id_fkey,public,candidate_campaign_enrollments,candidate_id,public,candidates,id,NO ACTION,CASCADE
candidate_campaign_enrollments_org_id_fkey,public,candidate_campaign_enrollments,org_id,public,organizations,id,NO ACTION,NO ACTION
candidate_documents_candidate_id_fkey,public,candidate_documents,candidate_id,public,candidates,id,NO ACTION,CASCADE
candidate_documents_org_id_fkey,public,candidate_documents,org_id,public,organizations,id,NO ACTION,NO ACTION
candidate_notes_job_candidate_id_fkey,public,candidate_notes,job_candidate_id,public,job_candidate,id,NO ACTION,CASCADE
candidate_notes_org_id_fkey,public,candidate_notes,org_id,public,organizations,id,NO ACTION,CASCADE
candidates_org_id_fkey,public,candidates,org_id,public,organizations,id,NO ACTION,CASCADE
client_submissions_candidate_id_fkey,public,client_submissions,candidate_id,public,candidates,id,NO ACTION,CASCADE
