table_schema,table_name,foreign_key_count
public,job_candidate,7
public,messages,6
public,applications,5
public,client_submissions,4
public,email_events,4
public,jobs,4
public,application_metadata,3
public,calendar_events,3
public,candidate_campaign_enrollments,3
public,candidate_notes,3
public,interviews,3
auth,oauth_authorizations,2
auth,oauth_consents,2
auth,saml_relay_states,2
auth,sessions,2
public,campaign_email_sends,2
public,candidate_documents,2
public,candidates,2
public,clients,2
public,connected_accounts,2
public,message_recipients,2
public,pipeline_columns,2
public,user_organizations,2
storage,s3_multipart_uploads_parts,2
auth,identities,1
auth,mfa_amr_claims,1
auth,mfa_challenges,1
auth,mfa_factors,1
auth,one_time_tokens,1
auth,refresh_tokens,1
auth,saml_providers,1
auth,sso_domains,1
public,ai_insights_cache,1
public,ai_insights_metrics,1
public,ai_recommendations_history,1
public,campaign_emails,1
public,daily_analytics_snapshots,1
public,data_imports,1
public,drip_campaigns,1
public,email_templates,1
public,import_records,1
public,message_threads,1
public,notes,1
public,oauth_sessions,1
public,organization_email_settings,1
public,report_queue,1
public,report_schedules,1
public,user_profiles,1
storage,objects,1
storage,prefixes,1
storage,s3_multipart_uploads,1
